interview_topic,section,question,answer,,,,,,,,,,,,,,,,,,,,,
Machine Learning,Supervised Learning,What is ‘Overfitting’ in Machine learning?,"In machine learning, when a statistical model describes random error or noise instead of underlying relationship ‘overfitting’ occurs.  When a model is excessively complex, overfitting is normally observed, because of having too many parameters with respect to the number of training data types. The model exhibits poor performance which has been overfit.",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Supervised Learning,How can you avoid overfitting ?,"By using a lot of data overfitting can be avoided, overfitting happens relatively as you have a small dataset, and you try to learn from it. But if you have a small database and you are forced to come with a model based on that. In such situation, you can use a technique known as cross validation. In this method the dataset splits into two section, testing and training datasets, the testing dataset will only test the model while, in training dataset, the datapoints will come up with the model.In this technique,  a model is usually given a dataset of a known data on which training (training data set) is run and a dataset of unknown data against which the model is tested. The idea of cross validation is to define a dataset to “test” the model in the training phase.",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Theory,What are the five popular algorithms of Machine Learning?,"Decision Tree, Neural Network (back propagation), Nearest Neighbor, Support vector machine, Random Forest",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Theory,What are the different Algorithm techniques in Machine Learning?,"Supervised Learning, Unsupervised Learning, Reinforcement Learning, Semi-supervised Learning",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Theory,What are the three stages to build the hypothesis or model in Machine Learning?,"Model Building, Model Testing, Applying the model",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Theory,What is the difference between artificial learning and machine learning?,"Designing and developing algorithms according to the behaviours based on empirical data are known as Machine Learning.  While artificial intelligence in addition to machine learning, it also covers other aspects like knowledge representation, natural language processing, planning, robotics etc.",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Supervised Learning,What is classifier in machine learning?,"A classifier in a Machine Learning is a system that inputs a vector of discrete or continuous feature values and outputs a single discrete value, the class.",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Theory,What is the difference between supervised learning and unsupervised learning?,"Supervised learning requires training labeled data. For example, in order to do classification (a supervised learning task), you’ll need to first label the data you’ll use to train the model to classify data into your labeled groups. Unsupervised learning, in contrast, does not require labeling data explicitly.",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Unsupervised Learning,How is KNN different from k-means clustering?,"K-Nearest Neighbors is a supervised classification algorithm, while k-means clustering is an unsupervised clustering algorithm. While the mechanisms may seem similar at first, what this really means is that in order for K-Nearest Neighbors to work, you need labeled data you want to classify an unlabeled point into (thus the nearest neighbor part). K-means clustering requires only a set of unlabeled points and a threshold: the algorithm will take unlabeled points and gradually learn how to cluster them into groups by computing the mean of the distance between different points.
The critical difference here is that KNN needs labeled points and is thus supervised learning, while k-means doesn’t — and is thus unsupervised learning.",,,,,,,,,,,,,,,,,,,,,
Machine Learning,Evaluation,Explain how a ROC curve works.,The ROC curve is a graphical representation of the contrast between true positive rates and the false positive rate at various thresholds. It’s often used as a proxy for the trade-off between the sensitivity of the model (true positives) vs the fall-out or the probability it will trigger a false alarm (false positives).,,,,,,,,,,,,,,,,,,,,,
